meta_id,meta_name,meta_owner,meta_visualization,prompt_context_dataset_name,query_type,has_service,limit,sparql_len,declared_prefix_count,prefix_count,exec_class,exec_error
62b83377513bdbee6ba3cb3b,fouten-kwaliteit,Basisregistratie Adressen en Gebouwen (BAG),gchart,Kwaliteit,SELECT,False,,1603,2,5,missing,
62b83406513bdbee6ba3d0e5,sources,Basisregistratie Adressen en Gebouwen (BAG),gchart,Kwaliteit,SELECT,False,,389,4,5,missing,
62b8348f0fe5bf1b8a9b144b,kwaliteit-panden-gemeente,Basisregistratie Adressen en Gebouwen (BAG),geo,Kwaliteit,SELECT,True,1000.0,1348,6,5,missing,
62b83a46513bdbee6ba4a79e,kwaliteit-verblijfsobject,Basisregistratie Adressen en Gebouwen (BAG),geo,Kwaliteit,SELECT,True,500.0,1422,7,5,missing,
62b83c320fe5bf1b8a9c57af,heatmap-pand,Basisregistratie Adressen en Gebouwen (BAG),table,Kwaliteit,SELECT,True,,729,6,5,missing,
62b840220fe5bf1b8a9cc435,kadaster-cbs-4,Centraal Bureau voor de Statistiek (CBS),geo,Unknown,SELECT,False,1000.0,2466,9,0,missing,
62b84429513bdbee6ba5ac5a,kadaster-cbs-5,Centraal Bureau voor de Statistiek (CBS),geo,Wijk- en Buurtkaart (WBK),SELECT,False,100.0,1329,4,10,missing,
62b84899513bdbee6ba5defb,igo-risicoobjecten-per-gemeente,Data Science Team (DST),geo,Unknown,SELECT,False,100.0,2074,9,0,missing,
62b84a2b513bdbee6ba5ef92,igo-risicoobjecten-in-radius,Data Science Team (DST),geo,Unknown,SELECT,False,1.0,2139,6,0,missing,
62b84c330fe5bf1b8a9d4dff,bag-woonplaats,GeoData Wizard,table,Unknown,SELECT,False,1.0,466,4,0,missing,
62b84c5d513bdbee6ba60680,brt-plaats,GeoData Wizard,table,Unknown,SELECT,False,1.0,377,3,0,missing,
62b85553513bdbee6ba66b90,religieuze-gebouwen-1,Data Science Team (DST),gchart,Unknown,SELECT,False,,464,3,0,missing,
62b8706b513bdbee6ba7c1e6,brt-era,Basisregistratie Topografie (BRT),geo,Unknown,SELECT,True,,1031,7,0,missing,
62b870be513bdbee6ba7c809,era-stations-within,Basisregistratie Topografie (BRT),geo,Unknown,SELECT,True,,1054,7,0,missing,
62b87130513bdbee6ba7ce6d,station-info,Basisregistratie Topografie (BRT),table,Unknown,SELECT,True,1.0,1104,4,0,missing,
62b871820fe5bf1b8a9f0ba1,era-spoor,Basisregistratie Topografie (BRT),gchart,Unknown,SELECT,True,,407,2,0,missing,
62b871f00fe5bf1b8a9f1216,brt-era-sporen,Basisregistratie Topografie (BRT),geo,Unknown,SELECT,True,,1563,6,0,missing,
62b87252513bdbee6ba7de43,era-track,Basisregistratie Topografie (BRT),table,Unknown,SELECT,True,1.0,812,4,0,missing,
62b87546513bdbee6ba8047e,bag-postcode-huisnummer,Basisregistratie Adressen en Gebouwen (BAG),geo,Unknown,SELECT,False,250.0,2066,4,0,missing,
